,Smiles,MolLog,TPSA,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,CalcNumAmideBonds,NumHeteroatoms,NumValenceElectrons,NumSpiroAtoms,FractionCSP3,FpDensityMorgan1,ExactMolWt,Chi0,Chi1,Ipc,BertzCT,LabuteASA,IC50
312,O=C(C1CC1)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1,2.773600000000001,49.330000000000005,0,5,4,0,4,1,6,130,0,0.42105263157894735,1.0,356.1403889720001,17.225403871315223,12.220346690612274,1440878.5841843302,724.8491291398617,152.18506567729722,100000.0
313,NC(=O)c1cccc(C(O)(c2cccnc2)c2ccc(Cl)cc2F)c1,3.257200000000002,76.21000000000001,3,4,3,2,4,1,6,126,0,0.05263157894736842,1.12,356.072783588,18.026733258565955,11.924576051848241,455854.6964713447,933.7170353489034,148.25957192042512,100000.0
314,CC(C)(C)OC(=O)NC1CCN(C(c2cccnc2)c2ccc(Cl)cc2F)CC1,4.952600000000005,54.46,1,5,4,1,4,1,7,156,0,0.45454545454545453,1.3103448275862069,419.177583004,21.018297090128673,13.726165307525706,2342172.355219097,833.6961751295773,175.77024222451092,10.0
315,O=C(C1CCCCC1)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1,3.943900000000003,49.330000000000005,0,5,4,0,4,1,6,148,0,0.5,0.9285714285714286,398.1873391640001,19.34672421487486,13.720346690612276,3891008.642949443,768.8835790107765,171.27989202048704,320.0
316,O=S(=O)(Cc1ccccc1)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1,3.3670000000000018,66.4,0,6,5,0,6,0,8,156,0,0.2727272727272727,0.8666666666666667,442.1230246560001,20.976480726871777,14.526806570407933,7994689.413794628,1055.311264693663,181.75241848607195,220.0
317,CC(C)(C)OC(=O)N1CCC(NC(c2ccc(Cl)cc2)c2cccnc2)CC1,4.813500000000004,54.46,1,5,4,1,4,1,6,150,0,0.45454545454545453,1.1785714285714286,401.187004816,20.148053602125593,13.315481705002746,1712092.1701949218,766.6189165042862,171.60470682158467,24.0
318,O=C(N1CCCCC1)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1,3.4429000000000025,52.57000000000001,0,6,4,0,3,2,7,148,0,0.47619047619047616,0.8214285714285714,399.18258813200003,19.34672421487486,13.720346690612276,3891008.642949443,771.1427682680063,170.67478357629378,100000.0
319,O=S(=O)(Cc1ccccc1)NC1CCN(C(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,4.168800000000004,75.19,1,6,5,1,7,0,10,180,0,0.3333333333333333,1.0,490.1650317000001,24.183587508058324,16.21125798227544,38334324.76246185,1166.349753849256,196.46567121016682,54930.0
320,CC(C)c1ccc(S(=O)(=O)NC2CCN(C(c3ccc(C(F)(F)F)cc3)c3cnccn3)CC2)cc1,5.151100000000005,75.19,1,6,5,1,7,0,10,192,0,0.38461538461538464,0.9444444444444444,518.1963318280001,25.924074484064477,17.04266188845343,88131142.94004452,1241.1017224288773,209.19555543896,520.0
321,Cc1cc(C(=O)NC2CCN(C(c3cncnc3)c3ccc(Cl)cc3F)CC2)[nH]n1,3.2844200000000017,86.8,2,7,5,2,5,1,9,156,0,0.3333333333333333,1.2666666666666666,428.15276522400006,21.087211190881018,14.508040390846979,8965725.22841061,1019.3458774894741,178.23587480919022,172.5
322,O=C(Nc1ccccc1)NC1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,4.644600000000004,70.15,2,6,4,2,5,2,8,160,0,0.2608695652173913,1.096774193548387,439.157516256,21.631181265251037,15.09735678832402,13454064.29496471,1012.9901213265117,185.02353290803617,56050.0
323,O=C(C1CC1)N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,2.912700000000001,49.330000000000005,0,5,4,0,4,1,7,136,0,0.42105263157894735,1.1538461538461537,374.13096715999995,18.0956473593183,12.631030293135236,2059985.0757755346,791.3810592172609,156.3506010802234,179.5
324,OC(c1cccnc1)(c1cncc(F)c1)c1ccc(Cl)cc1F,3.692400000000002,46.010000000000005,1,3,3,1,3,0,6,116,0,0.058823529411764705,0.9565217391304348,332.05279709200005,16.449382989376332,11.013892449325281,182542.5653702065,845.0068527767182,135.77840039284482,100000.0
325,O=C(c1cscn1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,4.540700000000004,58.120000000000005,1,5,5,1,5,1,9,162,0,0.3181818181818182,1.1290322580645162,446.138816952,21.846724214874857,14.914834803611855,15077269.45033999,985.8553030137083,181.50678068820704,218.5
326,Cc1nocc1C(=O)NC1CCN(C(c2ccc(C#N)cc2)c2cccnc2)CC1,3.233500000000002,95.05,1,7,6,1,5,1,7,152,0,0.30434782608695654,1.2333333333333334,401.18517497600004,20.924074484064484,14.652198343190413,11026973.962016795,1031.4603530985482,174.87301857472835,100000.0
327,Fc1ccc(N2CCC(NC(c3ccc(Cl)cc3)c3cccnc3)CC2)cc1C(F)(F)F,6.240900000000004,28.16,1,3,3,1,5,0,8,168,0,0.2916666666666667,1.0,463.143838264,22.71696770287794,15.308681653729208,16370284.49435879,1033.360014923561,188.58910685221662,52320.0
328,OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1F,4.158300000000002,33.120000000000005,1,2,2,1,3,0,4,110,0,0.05555555555555555,0.9090909090909091,313.066969936,15.579139501373252,10.620045599207929,132143.14403619588,776.6052983705198,132.39321700897207,34.8
329,O=C(Cc1ccccc1)NC1CCN(C(c2cnccn2)c2ccc(F)cc2F)CC1,3.667500000000002,58.120000000000005,1,5,4,1,6,1,7,160,0,0.2916666666666667,1.096774193548387,422.191817828,21.631181265251037,15.09735678832402,13454064.29496471,1008.602586772952,179.7008820148693,700.0
330,O=C(NC1CCCC1)c1cccc(C(O)(c2ccc(Cl)cc2)c2cccnc2)c1,4.691600000000004,62.22,2,4,3,2,5,1,5,148,0,0.25,1.0,406.144805656,20.26937394568523,14.069535341991108,6643895.456356973,985.2772026717406,175.12288742254805,150.0
331,OC(c1cncnc1)(c1ccccc1F)c1ccccc1Cl,3.553300000000002,46.010000000000005,1,3,3,1,3,0,5,110,0,0.058823529411764705,0.9090909090909091,314.06221890399996,15.579139501373252,10.636882351613536,133482.03816080527,749.9270800952258,131.6128649899186,2640.0
332,CS(=O)(=O)N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,1.9356999999999995,66.4,0,6,5,0,4,0,9,134,0,0.375,1.16,384.08230271599996,18.026733258565955,11.859191910946029,406121.052085053,842.468149602836,150.86085968293415,100000.0
333,CC(C)S(=O)(=O)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1,2.5752000000000006,66.4,0,6,5,0,5,0,8,140,0,0.4444444444444444,0.9615384615384616,394.12302465600004,18.7338400397525,12.391883981397132,743370.7845544684,820.0294150063386,159.42520850880115,230.0
334,CC(=O)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,2.988500000000002,36.440000000000005,0,4,3,0,3,1,5,120,0,0.3333333333333333,1.0869565217391304,329.12948994000004,16.233840039752504,11.147867045540842,220309.1684330638,651.7267324961535,141.2413646210867,240.0
335,O=C(c1nccs1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,4.540700000000004,58.120000000000005,1,5,5,1,5,1,9,162,0,0.3181818181818182,1.096774193548387,446.138816952,21.846724214874857,14.914834803611855,15077269.45033999,985.8553030137083,181.50678068820702,100000.0
336,Cc1cc(C(=O)N2CCC(NC(c3ccc(C(F)(F)F)cc3)c3cccnc3)CC2)no1,4.380620000000003,71.26,1,6,5,1,5,1,9,168,0,0.34782608695652173,1.15625,444.177310636,22.71696770287793,15.308681653729208,20351534.078107763,1043.108388202566,182.9770451020383,120.0
337,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,4.0676000000000005,46.010000000000005,1,3,3,1,3,0,5,110,0,0.058823529411764705,0.8181818181818182,330.032668364,15.579139501373252,10.620045599207929,132143.14403619588,778.1770800952257,137.750595813874,350.0
338,CC(C)(C)OC(=O)NC1CCN(C(c2ccc(C#N)cc2)c2cccnc2)CC1,4.031780000000003,78.25,1,6,5,1,4,1,6,152,0,0.43478260869565216,1.206896551724138,392.221226136,20.85516038331214,13.853486507463531,2848445.8703945596,845.1868397530021,172.05896239056835,100000.0
339,Clc1ccc(C(c2cncnc2)c2ccccc2Cl)cc1,4.963600000000002,25.78,0,2,2,0,3,0,4,104,0,0.058823529411764705,0.7619047619047619,314.037753744,14.656489770562878,10.25402019542349,90722.3815975235,727.2886331803691,132.95636206167802,1070.0
