Molecule ChEMBL ID;Molecule Name;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Value;Standard Units;pChEMBL Value;Potential Duplicate;BAO Label
CHEMBL1863128;;421.40;0;30742;DNDI1538114;Cc1noc(N2CCN(C(c3cccnc3)c3ccc(C(F)(F)F)cc3F)CC2)n1;IC50;44332;nM;28672;False;organism-based format
CHEMBL1863072;;425.45;0;20180;DNDI1562765;O=C(c1ccccc1)N1CC(CNC(c2ccc(C(F)(F)F)cc2)c2cccnc2)C1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863152;;406.45;0;30011;DNDI1435836;CC(C)C(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1;IC50;230.0;nM;23529;False;organism-based format
CHEMBL1862949;;445.95;0;44231;DNDI1465500;Cc1ncsc1C(=O)NC1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863487;;363.89;0;23833;DNDI1332842;Clc1ccc(C(c2cccnc2)N2CCN(c3ccccc3)CC2)cc1;IC50;34.0;nM;17349;False;organism-based format
CHEMBL1862839;;347.20;0;11383;DNDI1255541;[O-][n+]1cncc(C(O)(c2ccc(Cl)cc2)c2ccccc2Cl)c1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1862828;;442.90;0;14336;DNDI1434958;O=C(NC1CCN(C(c2cnccn2)c2ccc(F)cc2F)CC1)c1ccc(Cl)cc1;IC50;270.0;nM;20972;False;organism-based format
CHEMBL1863074;;375.65;0;43191;DNDI1342984;OC(c1ccc(Cl)cc1)(c1ccc(Br)cc1)c1cncnc1;IC50;144.0;nM;30834;False;organism-based format
CHEMBL1863286;;463.91;1;45444;DNDI1492866;Fc1cc(Cl)ccc1C(NC1CCN(c2ccc(C(F)(F)F)cc2)CC1)c1cccnc1;IC50;53950.0;nM;46478;False;cell-based format
CHEMBL1863105;;438.91;1;45047;DNDI1625115;N#Cc1cc(N2CCC(NC(c3cccnc3)c3ccc(Cl)cc3F)CC2)ccc1F;IC50;38360.0;nM;15432;False;cell-based format
CHEMBL1863446;;439.59;0;44319;DNDI1703786;CCn1cc(C(NC2CCN(c3ccc(S(C)(=O)=O)cc3)CC2)c2cccnc2)cn1;IC50;6040.0;nM;44682;False;organism-based format
CHEMBL1863069;;448.34;1;44202;DNDI1614389;Fc1ccc(N2CCC(NC(c3cccnc3)c3ccc(Cl)cc3F)CC2)cc1Cl;IC50;54490.0;nM;46113;False;cell-based format
CHEMBL1862992;;374.44;0;44411;DNDI1449750;CC(C)C(=O)N1CCC(NC(c2cnccn2)c2ccc(F)cc2F)CC1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863433;;407.90;0;23468;DNDI1449753;O=C(Oc1ccccc1)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1;IC50;8.0;nM;44477;False;organism-based format
CHEMBL1863315;;295.17;0;35855;DNDI1255613;CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl;IC50;470.0;nM;12206;False;organism-based format
CHEMBL1862930;;425.33;1;44260;DNDI1423067;O=C(NC(c1ccc(C(F)(F)F)cc1)c1cnccn1)c1ccc(C(F)(F)F)cc1;IC50;61200.0;nM;44287;False;cell-based format
CHEMBL1863263;;324.31;0;31444;DNDI1423069;CN(C)C(=O)NC(c1ccc(C(F)(F)F)cc1)c1cnccn1;IC50;1000.0;nM;;False;organism-based format
